Census round;Temperature;Wind speed;pressure;Weather;Area name;Interacting humans;Non-interacting humans;Dogs;Blishøne;Grønbenet rørhøne;Time / date;Notes;Person;Clouds;Wind direction
1;4,00000000000000;8,0000000000000;1020,72;Fog;Bred 1;0;1;0;0;7;2023-02-15T13:50:00Z;NA;Mads, Asger;Broken;South
1;4,00000000000000;8,0000000000000;1020,72;Fog;Sø 1;0;0;0;1;3;2023-02-15T13:50:00Z;NA;Mads, Asger;Broken;South
1;4,00000000000000;8,0000000000000;1020,72;Fog;Græsareal 2;0;0;0;0;1;2023-02-15T13:50:00Z;NA;Mads, Asger;Broken;South
1;4,00000000000000;8,0000000000000;1020,72;Fog;Sø 2;2;0;0;0;1;2023-02-15T13:50:00Z;Ingen i rørsumpen;Mads, Asger;Broken;South
1;4,00000000000000;8,0000000000000;1020,72;Fog;Bred 2;0;0;0;0;5;2023-02-15T13:50:00Z;NA;Mads, Asger;Broken;South
1;4,00000000000000;8,0000000000000;1020,72;Fog;Græsareal 1;0;0;0;0;0;2023-02-15T13:50:00Z;NA;Mads, Asger;Broken;South
1;4,00000000000000;8,0000000000000;1020,72;Fog;Fodringshjørne;1;0;0;0;0;2023-02-15T13:50:00Z;Fodring;Mads, Asger;Broken;South
1;4,00000000000000;8,0000000000000;1020,72;Fog;Ø;0;0;0;0;0;2023-02-15T13:50:00Z;NA;Mads, Asger;Broken;South
2;9,00000000000000;21,0000000000000;993,55;Light Rain;Bred 1;13;0;0;1;3;2023-02-17T11:05:00Z;Meget regn, fugle-skræmme forsøg;Mads, Terese, Lærke;Broken;South-West
2;9,00000000000000;21,0000000000000;993,55;Light Rain;Fodringshjørne;0;0;0;0;0;2023-02-17T11:05:00Z;Meget regn, fugle-skræmme forsøg;Mads, Terese, Lærke;Broken;South-West
2;9,00000000000000;21,0000000000000;993,55;Light Rain;Sø 1;0;0;0;0;3;2023-02-17T11:05:00Z;Meget regn, fugle-skræmme forsøg;Mads, Terese, Lærke;Broken;South-West
2;9,00000000000000;21,0000000000000;993,55;Light Rain;Græsareal 1;0;0;0;0;0;2023-02-17T11:05:00Z;Meget regn, fugle-skræmme forsøg;Mads, Terese, Lærke;Broken;South-West
2;9,00000000000000;21,0000000000000;993,55;Light Rain;Bred 2;0;0;0;0;7;2023-02-17T11:05:00Z;Ingen andre fugle, meget regn, fugle-skræmme forsøg;Mads, Terese, Lærke;Broken;South-West
2;9,00000000000000;21,0000000000000;993,55;Light Rain;Græsareal 2;0;0;0;0;0;2023-02-17T11:05:00Z;Meget regn, fugle-skræmme forsøg;Mads, Terese, Lærke;Broken;South-West
2;9,00000000000000;21,0000000000000;993,55;Light Rain;Sø 2;0;0;0;0;1;2023-02-17T11:05:00Z;Meget regn, fugle-skræmme forsøg;Mads, Terese, Lærke;Broken;South-West
2;9,00000000000000;21,0000000000000;993,55;Light Rain;Ø;0;0;0;0;0;2023-02-17T11:05:00Z;Meget regn, fugle-skræmme forsøg;Mads, Terese, Lærke;Broken;South-West
3;10,00000000000000;22,0000000000000;1008,01;Fair;Bred 1;0;0;0;0;2;2023-02-21T13:05:00Z;NA;Lærke;Broken;North-West
3;10,00000000000000;22,0000000000000;1008,01;Fair;Sø 1;0;0;0;2;4;2023-02-21T13:05:00Z;NA;Lærke;Broken;North-West
3;10,00000000000000;22,0000000000000;1008,01;Fair;Græsareal 1;1;0;2;0;0;2023-02-21T13:05:00Z;To løse hunde;Lærke;Broken;North-West
3;10,00000000000000;22,0000000000000;1008,01;Fair;Sø 2;0;0;0;0;0;2023-02-21T13:05:00Z;NA;Lærke;Broken;North-West
3;10,00000000000000;22,0000000000000;1008,01;Fair;Bred 2;0;0;0;0;7;2023-02-21T13:05:00Z;NA;Lærke;Broken;North-West
3;10,00000000000000;22,0000000000000;1008,01;Fair;Græsareal 2;0;0;0;0;0;2023-02-21T13:05:00Z;NA;Lærke;Broken;North-West
3;10,00000000000000;22,0000000000000;1008,01;Fair;Fodringshjørne;0;2;0;1;2;2023-02-21T13:05:00Z;To pers. på bænk;Lærke;Broken;North-West
3;10,00000000000000;22,0000000000000;1008,01;Fair;Ø;0;0;0;0;0;2023-02-21T13:05:00Z;Fiskehejre + tre skarv;Lærke;Broken;North-West
4;9,66666666666667;22,6666666666667;1009,00;Mostly Cloudy;Bred 1;0;0;0;0;5;2023-02-21T13:30:00Z;NA;Terese;Broken;West
4;9,66666666666667;22,6666666666667;1009,00;Mostly Cloudy;Fodringshjørne;0;2;0;0;1;2023-02-21T13:30:00Z;NA;Terese;Broken;West
4;9,66666666666667;22,6666666666667;1009,00;Mostly Cloudy;Sø 1;0;0;0;2;1;2023-02-21T13:30:00Z;NA;Terese;Broken;West
4;9,66666666666667;22,6666666666667;1009,00;Mostly Cloudy;Græsareal 1;0;0;0;0;0;2023-02-21T13:30:00Z;NA;Terese;Broken;West
4;9,66666666666667;22,6666666666667;1009,00;Mostly Cloudy;Græsareal 2;0;0;0;0;0;2023-02-21T13:30:00Z;NA;Terese;Broken;West
4;9,66666666666667;22,6666666666667;1009,00;Mostly Cloudy;Bred 2;0;0;0;0;2;2023-02-21T13:30:00Z;NA;Terese;Broken;West
4;9,66666666666667;22,6666666666667;1009,00;Mostly Cloudy;Sø 2;0;0;0;0;2;2023-02-21T13:30:00Z;NA;Terese;Broken;West
4;9,66666666666667;22,6666666666667;1009,00;Mostly Cloudy;Ø;0;0;0;0;0;2023-02-21T13:30:00Z;NA;NA;Broken;West
5;5,00000000000000;21,5000000000000;1011,99;Cloudy;Bred 1;0;0;0;0;5;2023-02-22T16:10:00Z;NA;Lærke;Broken;East-South-East
5;5,00000000000000;21,5000000000000;1011,99;Cloudy;Fodringshjørne;0;0;0;0;0;2023-02-22T16:10:00Z;NA;Lærke;Broken;East-South-East
5;5,00000000000000;21,5000000000000;1011,99;Cloudy;Sø 1;0;0;0;0;2;2023-02-22T16:10:00Z;NA;Lærke;Broken;East-South-East
5;5,00000000000000;21,5000000000000;1011,99;Cloudy;Græsareal 1;0;2;0;0;0;2023-02-22T16:10:00Z;fodring;Lærke;Broken;East-South-East
5;5,00000000000000;21,5000000000000;1011,99;Cloudy;Græsareal 2;0;0;0;0;0;2023-02-22T16:10:00Z;NA;Lærke;Broken;East-South-East
5;5,00000000000000;21,5000000000000;1011,99;Cloudy;Bred 2;0;0;0;0;4;2023-02-22T16:10:00Z;NA;Lærke;Broken;East-South-East
5;5,00000000000000;21,5000000000000;1011,99;Cloudy;Sø 2;0;0;0;2;1;2023-02-22T16:10:00Z;NA;Lærke;Broken;East-South-East
5;5,00000000000000;21,5000000000000;1011,99;Cloudy;Ø;0;0;0;0;1;2023-02-22T16:10:00Z;NA;Lærke;Broken;East-South-East
6;4,00000000000000;14,0000000000000;1006,01;Fair;Græsareal 2;0;2;0;0;0;2023-02-23T18:27:00Z;NA;Asger;Broken;West
6;4,00000000000000;14,0000000000000;1006,01;Fair;Sø 1;0;0;0;0;1;2023-02-23T18:27:00Z;på lav gren;Asger;Broken;West
6;4,00000000000000;14,0000000000000;1006,01;Fair;Ø;0;0;0;0;1;2023-02-23T18:27:00Z;på lav gren, meget svær at få øje på;Asger;Broken;West
6;4,00000000000000;14,0000000000000;1006,01;Fair;Bred 1;0;0;0;0;0;2023-02-23T18:27:00Z;NA;Asger;Broken;West
6;4,00000000000000;14,0000000000000;1006,01;Fair;Bred 2;0;0;0;0;0;2023-02-23T18:27:00Z;NA;Asger;Broken;West
6;4,00000000000000;14,0000000000000;1006,01;Fair;Sø 2;0;0;0;0;0;2023-02-23T18:27:00Z;NA;Asger;Broken;West
7;10,25000000000000;10,5000000000000;1027,95;Fair;Bred 1;2;1;0;0;2;2023-02-28T12:48:00Z;NA;Lærke;Clear;West
7;10,25000000000000;10,5000000000000;1027,95;Fair;Sø 1;0;0;0;0;1;2023-02-28T12:48:00Z;delvis is på søen;Lærke;Clear;West
7;10,25000000000000;10,5000000000000;1027,95;Fair;Græsareal 2;0;0;0;0;0;2023-02-28T12:48:00Z;NA;Lærke;Clear;West
7;10,25000000000000;10,5000000000000;1027,95;Fair;Sø 2;0;0;0;2;6;2023-02-28T12:48:00Z;delvis is på søen;Lærke;Clear;West
7;10,25000000000000;10,5000000000000;1027,95;Fair;Bred 2;1;0;2;0;0;2023-02-28T12:48:00Z;fuglene fløj da hundene kom;Lærke;Clear;West
7;10,25000000000000;10,5000000000000;1027,95;Fair;Græsareal 1;0;0;0;0;0;2023-02-28T12:48:00Z;NA;Lærke;Clear;West
7;10,25000000000000;10,5000000000000;1027,95;Fair;Fodringshjørne;2;0;0;0;0;2023-02-28T12:48:00Z;NA;Lærke;Clear;West
7;10,25000000000000;10,5000000000000;1027,95;Fair;Ø;0;0;0;0;0;2023-02-28T12:48:00Z;NA;Lærke;Clear;West
